timestamp,buyer,seller,symbol,currency,price,quantity
0,SUBMISSION,Ruby,AMETHYSTS,SEASHELLS,9999,1
0,SUBMISSION,Ruby,AMETHYSTS,SEASHELLS,9999,1
0,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5001,1
100,Ruby,SUBMISSION,STARFRUIT,SEASHELLS,5002,6
900,Rhianna,Valentina,STARFRUIT,SEASHELLS,5001,2
1000,,SUBMISSION,AMETHYSTS,SEASHELLS,10002,1
1000,SUBMISSION,Ruby,STARFRUIT,SEASHELLS,4998,2
1100,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4999,1
1400,SUBMISSION,,AMETHYSTS,SEASHELLS,9998,3
1500,Remy,SUBMISSION,AMETHYSTS,SEASHELLS,10001,1
1500,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5000,1
1800,Ruby,SUBMISSION,STARFRUIT,SEASHELLS,5000,7
1800,Ruby,Valentina,STARFRUIT,SEASHELLS,5001,3
1800,Ruby,Vladimir,STARFRUIT,SEASHELLS,5001,1
1800,Remy,Vladimir,STARFRUIT,SEASHELLS,5002,1
2000,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5000,1
2100,Rhianna,Valentina,STARFRUIT,SEASHELLS,5001,4
2200,,SUBMISSION,AMETHYSTS,SEASHELLS,10002,1
2500,SUBMISSION,Ruby,STARFRUIT,SEASHELLS,4998,3
2500,Valentina,Remy,AMETHYSTS,SEASHELLS,9998,1
2500,Valentina,Ruby,STARFRUIT,SEASHELLS,4996,8
3000,,SUBMISSION,AMETHYSTS,SEASHELLS,10002,3
3200,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,1
3200,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4998,1
3300,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,2
3300,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4998,2
3600,Ruby,SUBMISSION,AMETHYSTS,SEASHELLS,10001,6
3900,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5000,1
